date,sku,category,sales_quantity,revenue,promotion_flag,holiday_flag
2024-01-01,奶粉_1段,奶粉,150,15000,0,1
2024-01-01,奶粉_2段,奶粉,200,20000,0,1
2024-01-01,尿裤_S,尿裤,300,15000,0,1
2024-01-01,尿裤_M,尿裤,350,17500,0,1
2024-01-01,婴儿湿巾,用品,100,3000,0,1
2024-01-02,奶粉_1段,奶粉,145,14500,0,0
2024-01-02,奶粉_2段,奶粉,195,19500,0,0
2024-01-02,尿裤_S,尿裤,290,14500,0,0
2024-01-02,尿裤_M,尿裤,340,17000,0,0
2024-01-02,婴儿湿巾,用品,95,2850,0,0
2024-01-03,奶粉_1段,奶粉,148,14800,0,0
2024-01-03,奶粉_2段,奶粉,198,19800,0,0
2024-01-03,尿裤_S,尿裤,295,14750,0,0
2024-01-03,尿裤_M,尿裤,345,17250,0,0
2024-01-03,婴儿湿巾,用品,98,2940,0,0
2024-01-04,奶粉_1段,奶粉,152,15200,0,0
2024-01-04,奶粉_2段,奶粉,202,20200,0,0
2024-01-04,尿裤_S,尿裤,305,15250,0,0
2024-01-04,尿裤_M,尿裤,355,17750,0,0
2024-01-04,婴儿湿巾,用品,102,3060,0,0
2024-01-05,奶粉_1段,奶粉,155,15500,0,0
2024-01-05,奶粉_2段,奶粉,205,20500,0,0
2024-01-05,尿裤_S,尿裤,310,15500,0,0
2024-01-05,尿裤_M,尿裤,360,18000,0,0
2024-01-05,婴儿湿巾,用品,105,3150,0,0
2024-01-06,奶粉_1段,奶粉,160,16000,0,0
2024-01-06,奶粉_2段,奶粉,210,21000,0,0
2024-01-06,尿裤_S,尿裤,320,16000,0,0
2024-01-06,尿裤_M,尿裤,370,18500,0,0
2024-01-06,婴儿湿巾,用品,110,3300,0,0
2024-01-07,奶粉_1段,奶粉,158,15800,0,0
2024-01-07,奶粉_2段,奶粉,208,20800,0,0
2024-01-07,尿裤_S,尿裤,315,15750,0,0
2024-01-07,尿裤_M,尿裤,365,18250,0,0
2024-01-07,婴儿湿巾,用品,108,3240,0,0
