# 标签字典 (v3.9, 602 唯一标签)
格式: TAG_ID|英文名{+正/-负/·中}|AIPL节点
可用 AIPL 节点: A(认知) I(兴趣) P1(比价) P2(购买) L1(首用/产品) L2(售后/复购) L3(推荐/UGC)

## 通用 (265)
TAG_A_001|brand feels unfamiliar-|A
TAG_A_002|professional first impression+|A
TAG_A_003|content matches my pain point+|A
TAG_A_004|content feels irrelevant-|A
TAG_A_005|misleading ad claim-|A
TAG_A_006|authentic mom recommendation+|A
TAG_A_007|feels too sponsored-|A
TAG_A_008|trusted influencer review+|A
TAG_A_009|influencer bias concern-|A
TAG_A_010|too many ads-|A
TAG_I_001|hard to find information-|I
TAG_I_002|clear specs+|I
TAG_I_003|unclear specs-|I
TAG_I_004|helpful authentic reviews+|I
TAG_I_005|reviews feel fake-|I
TAG_I_006|clear final price+|I
TAG_I_007|unclear final price-|I
TAG_I_008|enough proof+|I
TAG_I_009|not enough proof-|I
TAG_I_010|consistent information+|I
TAG_I_011|conflicting information-|I
TAG_P1_001|clear value proposition+|P1
TAG_P1_002|feature misunderstanding-|P1
TAG_P1_003|helpful comparison content+|P1
TAG_P1_004|missing comparison content-|P1
TAG_P1_005|trusted safety certification+|P1
TAG_P1_006|unclear certification-|P1
TAG_P1_007|credible third party review+|P1
TAG_P1_008|biased review concern-|P1
TAG_P1_009|worth the price+|P1
TAG_P1_010|poor value for money-|P1
TAG_L2_001|fast support response+|L2
TAG_L2_002|issue solved right away+|L2
TAG_L2_003|knowledgeable support+|L2
TAG_L2_004|smooth refund replacement+|L2
TAG_L2_005|would buy again+|L2
TAG_L2_006|won't buy again-|L2
TAG_L2_007|trust restored after support+|L2
TAG_L3_001|valuable membership benefits+|L3
TAG_L3_002|weak membership value-|L3
TAG_L3_003|helpful private content+|L3
TAG_L3_004|private content overload-|L3
TAG_L3_005|personalized service works+|L3
TAG_L3_006|generic service-|L3
TAG_L3_007|brand handled issue well+|L3
TAG_L3_008|poor public response-|L3
TAG_L3_009|active community+|L3
TAG_L1_005|button malfunction-|L1
TAG_L1_012|product deformation-|L1
TAG_L1_013|cannot charge-|L1
TAG_L1_014|burnt melted-|L1
TAG_L1_025|unbinding request-|L1
TAG_L1_031|parts crack or break-|L1
TAG_L1_032|no connection on celluar data/4g/5g-|L1
TAG_L1_033|strange odor-|L1
TAG_L1_034|strange noise-|L1
TAG_L1_035|burnt melted-|L1
TAG_L1_036|burnt smoking-|L1
TAG_L1_037|burnt smell-|L1
TAG_L1_038|burnt melted-|L1
TAG_L1_039|burnt non safty hazard issue-|L1
TAG_L1_040|general core product performance issue-|L1
TAG_L1_041|poor image quality-|L1
TAG_P2_001|wrong/missing/extra parts-|P2
TAG_L1_043|cannot power off-|L1
TAG_L1_045|cannot power on-|L1
TAG_P1_011|injury-|P1
TAG_P1_012|bleeding-|P1
TAG_P1_013|hospitalization/treatment-|P1
TAG_L1_072|product improvement-|L1
TAG_L2_008|advance after sales policy-|L2
TAG_P1_014|report product severe: products affect personal ..-|P1
TAG_I_012|update m5 to m5 smart-|I
TAG_P2_003|return wrong product description-|P2
TAG_P2_004|return shipping delays-|P2
TAG_P2_005|return received a gift-|P2
TAG_P2_006|return not specified-|P2
TAG_L1_074|return not meeting expectations-|L1
TAG_P2_007|modify product-|P2
TAG_P2_008|modify id/tax number-|P2
TAG_P2_009|modify address-|P2
TAG_P2_010|wrong payment card/account-|P2
TAG_P2_011|system pending/cancelation-|P2
TAG_P2_012|received a gift-|P2
TAG_P2_013|purchased elsewhere-|P2
TAG_P2_014|out of stock-|P2
TAG_P2_015|order cancelled without reason-|P2
TAG_P2_017|forgot to use/used wrong code-|P2
TAG_P2_018|didn't ship due to exceptions-|P2
TAG_P2_019|cancel a part of the order-|P2
TAG_P2_020|bought less/more/wrong product-|P2
TAG_P2_021|wrong sku modified-|P2
TAG_P2_022|used products-|P2
TAG_P2_023|shipping delayed-|P2
TAG_P2_024|sent wrong color/size/model-|P2
TAG_P2_025|missed item-|P2
TAG_P2_026|empty package or missing items-|P2
