date,creative_id,impressions,clicks,conversions,spend
2024-01-01,creative_A,1000,50,5,100.0
2024-01-01,creative_B,1000,60,6,100.0
2024-01-01,creative_C,1000,80,10,100.0
2024-01-01,creative_D,1000,70,7,100.0
2024-01-02,creative_A,1200,55,6,110.0
2024-01-02,creative_B,1150,65,7,110.0
2024-01-02,creative_C,1100,90,12,110.0
2024-01-02,creative_D,1250,80,9,110.0
2024-01-03,creative_A,1100,52,5,105.0
2024-01-03,creative_B,1050,58,6,105.0
2024-01-03,creative_C,1150,95,14,105.0
2024-01-03,creative_D,1200,75,8,105.0
2024-01-04,creative_A,1300,60,7,120.0
2024-01-04,creative_B,1250,70,8,120.0
2024-01-04,creative_C,1200,100,15,120.0
2024-01-04,creative_D,1350,85,10,120.0
2024-01-05,creative_A,1250,55,6,115.0
2024-01-05,creative_B,1200,68,7,115.0
2024-01-05,creative_C,1150,92,13,115.0
2024-01-05,creative_D,1300,78,9,115.0
