score,s_venue,s_code,s_business,s_method,s_gap,venue,arxiv_id,published,domains,title,journal_ref,strong_hits,url
78.9,30,11,11.7,20,5.0,EMNLP,2606.27499,2026-06-25,00-电商Agent,DMV-Bench: Diagnosing Long-Horizon Multimodal Agents' Visual Memory with Incidental Cue Injection,,catalog|e-commerce|shopping,https://arxiv.org/abs/2606.27499
71.8,30,15,3.5,15.0,2.5,SIGIR,2608.19735,2026-08-20,05-推荐系统,RecPFN: Prior-Fitted Networks for In-Context-Based Recommendations,"In Proceedings of the 49th International ACM SIGIR Conference on Research and Development in Information Retrieval, pp. 1731-1742. 2026",recommender,https://arxiv.org/abs/2608.19735
69.8,30,0,15.2,20,2.5,KDD,2607.05242,2026-07-06,01-因果推断,CanniUplift: A Holistic Framework for Mitigating Seller and Incentive Cannibalization in E-commerce Uplift Modeling,,a/b test|conversion|e-commerce|seller|uplift,https://arxiv.org/abs/2607.05242
69.7,30,15,8.2,9.0,2.5,RecSys,2608.08889,2026-08-09,05-推荐系统,"LLM Reasoning for Subjective Tasks: Failure Modes, Mitigation, and Dynamic Reasoning Routing",,recommendation system|recommender,https://arxiv.org/abs/2608.08889
69.5,30,15,7.5,12.0,0.0,UAI,2608.10045,2026-08-10,05-推荐系统,Finding the Signal in the Spam: Jointly Learning Rewards and Worker Reliability from Pairwise Comparisons,,recommendation system,https://arxiv.org/abs/2608.10045
69.4,30,11,15.2,9.0,0.0,AAAI,2608.00123,2026-07-31,13-广告分析,LLM-OSDA: An Optimal-Stopping Dynamic Auction for Native Advertising in Multi-Turn LLM Conversations,,advertis|bidding|discount|pricing|retention,https://arxiv.org/abs/2608.00123
68.2,18,15,5.9,20,2.5,EMNLP,2608.30553,2026-08-31,02-A_B实验,Preference Shapes Relevance: Cross-component Hierarchical Semantic Alignment for Personalized Generative Retrieval,,a/b test,https://arxiv.org/abs/2608.30553
65.3,30,11,7.5,15.0,0.0,EMNLP,2607.20507,2026-07-03,00-电商Agent,CacheSpec: Finding the Sweet Spot for Small Models in Large Language Models,,shopping,https://arxiv.org/abs/2607.20507
64.5,30,15,1.2,9.0,2.5,EMNLP,2608.30924,2026-08-31,10-MAS,TRIPPULSE: Multi-Agent Travel Planning with Review-Grounded Reasoning,,,https://arxiv.org/abs/2608.30924
64.4,30,11,14.0,3.0,0.0,RecSys,2608.27006,2026-08-27,05-推荐系统|00-电商Agent,Conversational Recommendation over Live E-Commerce Catalogues with Self-Refreshing Retrieval,,catalog|e-commerce|recommender|shopping,https://arxiv.org/abs/2608.27006
63.6,30,11,1.2,12.0,5.0,EMNLP,2608.01708,2026-08-03,16-智能体工程,PGMem: Tightly Coupled Persona-Memory Graph for Lifelong Personalized Agents,,,https://arxiv.org/abs/2608.01708
62.3,30,0,3.5,20,2.5,ICML,2608.25370,2026-08-26,05-推荐系统,CRAMER: Control via Request-Aware Masking for Editing Recommenders,,recommender,https://arxiv.org/abs/2608.25370
61.8,30,0,10.5,15.0,0.0,KDD,2608.25871,2026-08-26,02-A_B实验|03-时间序列,CEDAR: Controlled and Event-Driven Demand Forecasting via Residual Decomposition,"Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2 (KDD '26), August 09-13, 2026, Jeju Island, Republic of Korea. ACM, 2026, 12 pages",demand forecasting|e-commerce|marketplace,https://arxiv.org/abs/2608.25871
61.5,18,15,7.0,15.0,0.0,CIKM,2608.27413,2026-08-27,02-A_B实验,Scaling Graph Neural Networks for Friend Recommendation: Multi-Hash User Embeddings and Temporal Neighbor Sampling,,a/b test|ranking system,https://arxiv.org/abs/2608.27413
61.5,30,0,10.5,18.0,2.5,KDD,2607.24779,2026-06-17,13-广告分析,HOBA: Hierarchical On-Policy Bidding Agents for Adaptive Online Advertising,,a/b test|advertis|bidding,https://arxiv.org/abs/2607.24779
61.1,30,11,0.0,15.0,2.5,KDD,2607.10532,2026-07-12,08-知识图谱|16-智能体工程,Implicit Fine-tuning via Context Engineering: A Curriculum Learning Framework for Multimodal Entity Alignment,SIGKDD 2026,,https://arxiv.org/abs/2607.10532
60.8,30,0,15.2,9.0,0.0,EMNLP,2608.28931,2026-08-28,02-A_B实验,MERIT: Mitigating Exposure Bias in Generative XMC for User-Interest Propensity Modeling,,a/b test|conversion|e-commerce|shopping,https://arxiv.org/abs/2608.28931
60.4,30,0,11.7,12.0,2.5,KDD,2608.00750,2026-08-01,05-推荐系统,Hierarchical Residual Policy Optimization for Generative Recommendations,,a/b test|recommender|return,https://arxiv.org/abs/2608.00750
59.5,30,4,1.2,15.0,5.0,KDD,2608.01315,2026-08-02,05-推荐系统,Collaborative Memory Augmentation for Generative Recommendation,,,https://arxiv.org/abs/2608.01315
59.4,30,0,8.2,15.0,2.5,RecSys,2607.23038,2026-07-25,05-推荐系统,EGR: Embedding-Native Generative Retrieval with a Shared LLM,,advertis|conversion,https://arxiv.org/abs/2607.23038
59.3,30,11,0.0,9.0,2.5,EMNLP,2609.01337,2026-09-01,16-智能体工程,LEAP: Likelihood Elicitation and Aggregation for LLM-based Probabilistic Forecasting,,,https://arxiv.org/abs/2609.01337
58.8,30,0,5.2,15.0,5.0,SIGMOD,2607.22115,2026-07-24,09-DataAgent-LLM,Benchmarking Text-to-SQL under Role-Based Access Control,,,https://arxiv.org/abs/2607.22115
58.6,30,0,4.7,18.0,2.5,RecSys,2607.19739,2026-07-22,05-推荐系统,Personalized Recommendation Tool Learning via Autonomous Language Agents,,recommender,https://arxiv.org/abs/2607.19739
58.3,30,0,7.0,12.0,2.5,EMNLP,2608.30425,2026-08-31,07-NLP-VOC,Generative Models Enhanced by Sequence Labelling and Aspect-Code Switching Improve Cross-lingual Aspect-Based Sentiment Analysis,,aspect-based|sentiment,https://arxiv.org/abs/2608.30425
58.3,18,15,1.2,15.0,2.5,EMNLP,2608.29345,2026-08-29,09-DataAgent-LLM,BIRD-History: A Benchmark for History-Driven Text-to-SQL with Fine-Grained Knowledge Annotations,,,https://arxiv.org/abs/2608.29345
58.2,30,4,0.0,18.0,0.0,NeurIPS,2608.22549,2026-08-23,10-MAS,Scaling Curriculum Learning For Autonomous Driving,,,https://arxiv.org/abs/2608.22549
58.0,30,0,8.2,12.0,2.5,RecSys,2608.13874,2026-08-14,05-推荐系统,Predicting Custom-Feed Returns for New Bluesky Posts: A Prospective Study,,recommender|return,https://arxiv.org/abs/2608.13874
57.0,30,0,5.2,15.0,0.0,EMNLP,2609.01187,2026-09-01,08-知识图谱,Athena: Vulnerability-Affected Library Identification via Knowledge Graph Completion,,,https://arxiv.org/abs/2609.01187
57.0,18,11,8.2,15.0,0.0,RecSys,2608.06792,2026-08-07,02-A_B实验,Progressive Alignment of Recommender Foundation Model through Multi-Phase Post-Training,,a/b test|recommender,https://arxiv.org/abs/2608.06792
56.7,30,11,0.0,6.0,2.5,EMNLP,2609.06124,2026-09-05,16-智能体工程,SAP: State-Guided Data Synthesis with Argument Provenance for Multi-Turn Tool Use,,,https://arxiv.org/abs/2609.06124
56.3,18,11,1.2,20,2.5,ICML,2607.24838,2026-07-24,08-知识图谱,MedJudgeRAG: Option-Wise Evidence Judgment with Dynamic Knowledge Graphs for Medical MCQA,,,https://arxiv.org/abs/2607.24838
56.3,18,15,1.2,18.0,2.5,ACL,2606.30851,2026-06-29,09-DataAgent-LLM,Test-Time Verification for Text-to-SQL via Outcome Reward Models,,,https://arxiv.org/abs/2606.30851
55.9,18,11,1.2,18.0,2.5,CIKM,2608.11846,2026-08-12,05-推荐系统,From Overlooked to Explored: Recovering Item Relations via Mixture of Perspectives for Sequential Recommendation,,,https://arxiv.org/abs/2608.11846
55.7,18,0,9.4,20,2.5,CIKM,2608.18855,2026-08-19,02-A_B实验,Think-to-Personalize: Unifying Reasoning and Retrieval for User-Centric Personalized Dense Retrieval,,a/b test|e-commerce,https://arxiv.org/abs/2608.18855
55.6,30,0,11.0,12.0,2.5,ICML,2606.14192,2026-06-12,13-广告分析,DRIVE: Distributional and Retrieval-Augmented Bidding with Value Evaluation,,advertis|bidding,https://arxiv.org/abs/2606.14192
55.5,30,11,7.0,3.0,0.0,RecSys,2608.03272,2026-08-04,05-推荐系统|10-MAS,Attacking and Defending Multi-Agent Collaborative Filtering Systems Through Connectivity,,catalog|recommender,https://arxiv.org/abs/2608.03272
54.9,30,0,0.0,15.0,2.5,EMNLP,2609.09072,2026-09-08,16-智能体工程,ToolLoop: Closed-Loop Tool-Use Data Synthesis via Decomposed Generation and Dynamic Self-Feedback,,,https://arxiv.org/abs/2609.09072
54.8,18,0,11.7,18.0,0.0,CIKM,2609.04862,2026-09-04,02-A_B实验|14-用户分析,Personalized Task Dependency Graphs for Mitigating Signal Erosion in Multi-Task Recommendation,,a/b test|conversion|funnel,https://arxiv.org/abs/2609.04862
54.7,18,11,3.5,12.0,5.0,CIKM,2608.11980,2026-08-12,05-推荐系统,Learning from Unreachable Rewards: Hint-Conditioned Reinforcement Learning for Generative Recommendation,,recommender,https://arxiv.org/abs/2608.11980
53.5,18,4,4.0,18.0,2.5,EMNLP,2609.03620,2026-09-03,16-智能体工程,ToolDF: Tool-Integrated Reasoning for Mixed-Authenticity Audio Deepfake Detection,,,https://arxiv.org/abs/2609.03620
53.2,18,11,3.5,12.0,2.5,CIKM,2608.22734,2026-08-24,05-推荐系统,Rethinking Item Tokenization in Generative Recommenders: From Fixed Atoms to Semantic Subwords,,recommender,https://arxiv.org/abs/2608.22734
52.9,18,0,12.9,15.0,0.0,KDD,2609.03239,2026-09-03,14-用户分析,"B2B Customer Conversion Prediction: A Document Representation, Graph Theory, and CatBoost Driven Methodology",,campaign|conversion|funnel,https://arxiv.org/abs/2609.03239
52.0,30,0,1.2,12.0,2.5,WWW,2608.25123,2026-08-25,08-知识图谱,SelfGraphRAG: Bridging the Supervision Gap in Graph-Based RAG with Synthetic QA Generation,,,https://arxiv.org/abs/2608.25123
51.9,18,0,14.0,18.0,0.0,SIGIR,2607.03886,2026-07-04,13-广告分析,Enhancement of E-commerce Sponsored Search Relevancy with LLM,,advertis|e-commerce|ecommerce|marketplace|sponsored search,https://arxiv.org/abs/2607.03886
51.8,18,0,7.0,18.0,2.5,CIKM,2608.25528,2026-08-26,02-A_B实验,TransRetrieval: Scaling Up Transformer-Based Retrieval for Industrial Recommendation,,a/b test|return,https://arxiv.org/abs/2608.25528
51.7,18,0,14.0,12.0,2.5,CIKM,2608.11675,2026-08-12,13-广告分析|14-用户分析,FunnelCausalNet: Funnel-aware Joint Conversion-Revenue Uplift for Multi-tier Coupon Allocation,,campaign|conversion|coupon|funnel|merchandis|uplift,https://arxiv.org/abs/2608.11675
51.5,18,11,5.9,9.0,2.5,CIKM,2608.10247,2026-08-10,05-推荐系统,DualSpectralCF: Training-Free Sign-Aware Spectral Collaborative Filtering,,recommender,https://arxiv.org/abs/2608.10247
51.3,30,0,0.0,12.0,2.5,EMNLP,2609.00823,2026-09-01,16-智能体工程,Polished but Unresolved: Identifying Late-Stage Pressure States in Long-Horizon Tool-Use Agents,,,https://arxiv.org/abs/2609.00823
50.6,18,11,10.5,6.0,0.0,CIKM,2608.10240,2026-08-10,05-推荐系统,Sequential Modality Dropout for Robust Multi-Modal Sequential Recommendation,,catalog|recommender|retention,https://arxiv.org/abs/2608.10240
50.6,30,0,3.5,12.0,2.5,KDD,2607.10820,2026-07-12,06-增长模型,Causal Estimation of Share-Induced Engagement with Flywheel Effects,,a/b test,https://arxiv.org/abs/2607.10820
50.3,18,0,7.0,18.0,0.0,CIKM,2609.07273,2026-09-07,02-A_B实验,Task-Blind No MORE: Multi-Task Information Flow in Unified Ranking Backbones,,a/b test|recommender,https://arxiv.org/abs/2609.07273
